Date,Temperature (°C),Humidity (%)
2025-06-06 18:50:01,24.75,55.9
2025-06-06 19:00:01,24.45,57.4
2025-06-06 19:10:02,24.15,58.3
2025-06-06 19:20:01,23.85,60
2025-06-06 19:30:01,23.46,61.2
2025-06-06 19:40:01,23.26,63
2025-06-06 19:50:01,22.96,62.8
2025-06-06 20:00:01,22.57,65.9
2025-06-06 20:10:01,22.07,65.9
2025-06-06 20:20:01,21.58,68.2
2025-06-06 20:30:02,20.98,67.4
2025-06-06 20:40:01,20.39,69.8
2025-06-06 20:50:01,19.99,71.3
2025-06-06 21:00:01,19.60,72.2
2025-06-06 21:10:01,19.40,71
2025-06-06 21:20:01,19.20,72
2025-06-06 21:30:01,19.10,72.6
2025-06-06 21:40:01,18.90,80.4
2025-06-06 21:50:01,18.81,80.3
2025-06-06 22:00:02,18.61,80.9
2025-06-06 22:10:01,18.51,80.8
2025-06-06 22:20:01,18.41,83.2
2025-06-06 22:30:01,18.31,80.4
2025-06-06 22:40:01,18.21,79.5
2025-06-06 22:50:01,18.11,81.5
2025-06-06 23:00:01,18.01,84
2025-06-06 23:10:01,17.82,81
2025-06-06 23:20:01,17.72,81
2025-06-06 23:30:01,17.62,82.3
2025-06-06 23:40:01,17.52,82.1
2025-06-06 23:50:01,17.42,82.8
2025-06-07 00:00:01,17.32,82.8
2025-06-07 00:10:01,17.32,82.9
2025-06-07 00:20:01,17.12,83.9
2025-06-07 00:30:01,17.12,84.1
2025-06-07 00:40:01,17.12,84.9
2025-06-07 00:50:01,17.02,84.2
2025-06-07 01:00:01,16.92,86.9
2025-06-07 01:10:01,16.92,85.9
2025-06-07 01:20:01,16.83,85.8
2025-06-07 01:30:01,16.83,86
2025-06-07 01:40:01,16.83,86.7
2025-06-07 01:50:01,16.73,85.6
2025-06-07 02:00:01,16.63,86.6
2025-06-07 02:10:01,16.63,88.6
2025-06-07 02:20:01,16.53,86.1
2025-06-07 02:30:01,16.33,87
2025-06-07 02:40:01,16.13,86.2
2025-06-07 02:50:01,16.03,87.6
2025-06-07 03:00:01,15.93,86.1
2025-06-07 03:10:01,15.84,87
2025-06-07 03:20:01,15.64,87.6
2025-06-07 03:30:01,15.54,87.4
2025-06-07 03:40:01,15.34,87.7
2025-06-07 03:50:01,15.14,86.8
2025-06-07 04:00:01,14.94,87.2
2025-06-07 04:10:01,14.75,85.9
2025-06-07 04:20:01,14.85,87.4
2025-06-07 04:30:01,14.85,86
2025-06-07 04:40:01,14.94,84.4
2025-06-07 04:50:01,15.14,82.8
2025-06-07 05:00:01,15.14,83.6
2025-06-07 05:10:01,15.24,81.8
2025-06-07 05:20:01,15.44,79.4
2025-06-07 05:30:01,15.44,81.2
2025-06-07 05:40:01,15.54,80.6
2025-06-07 05:50:01,15.54,80.6
